name,family,threshold,accuracy,precision,recall,f1,roc_auc,pr_auc,cm,acc_ci,recall_ci
Majority class,baseline,0.5,0.8,0.0,0.0,0.0,0.5,0.2,"[[16, 0], [4, 0]]","(0.5839782779742401, 0.9193436467288)","(0.0, 0.48990002040399916)"
NDWI threshold,physics,0.40620455529269817,0.95,1.0,0.75,0.8571428571428571,0.953125,0.8928571428571428,"[[16, 0], [1, 3]]","(0.7638641064874331, 0.9911187805671268)","(0.3006360524426366, 0.9544139373553637)"
MNDWI threshold,physics,0.26573072864717684,0.9,0.75,0.75,0.75,0.90625,0.85,"[[15, 1], [1, 3]]","(0.6989617935882066, 0.9721341060158468)","(0.3006360524426366, 0.9544139373553637)"
Logistic (NDWI/MNDWI stats),physics,0.4448979591836734,1.0,1.0,1.0,1.0,1.0,1.0,"[[16, 0], [0, 4]]","(0.8388698745050668, 0.9999999999999999)","(0.5100999795960008, 1.0)"
Logistic (indices + band means),physics,0.48163265306122444,1.0,1.0,1.0,1.0,1.0,1.0,"[[16, 0], [0, 4]]","(0.8388698745050668, 0.9999999999999999)","(0.5100999795960008, 1.0)"
Random forest (NDWI/MNDWI stats),physics,0.6285714285714286,1.0,1.0,1.0,1.0,1.0,1.0,"[[16, 0], [0, 4]]","(0.8388698745050668, 0.9999999999999999)","(0.5100999795960008, 1.0)"
Tiny CNN (water bands),tiny_cnn,0.7755102040816326,1.0,1.0,1.0,1.0,1.0,1.0,"[[16, 0], [0, 4]]","(0.8388698745050668, 0.9999999999999999)","(0.5100999795960008, 1.0)"
Tiny CNN (all bands),tiny_cnn,0.2704081632653061,1.0,1.0,1.0,1.0,1.0,1.0,"[[16, 0], [0, 4]]","(0.8388698745050668, 0.9999999999999999)","(0.5100999795960008, 1.0)"
Probe RGB,probe,0.536734693877551,0.8,0.5,0.25,0.3333333333333333,0.875,0.65,"[[15, 1], [3, 1]]","(0.5839782779742401, 0.9193436467288)","(0.045586062644636216, 0.6993639475573634)"
Probe RGB+NIR,probe,0.29795918367346935,1.0,1.0,1.0,1.0,1.0,1.0,"[[16, 0], [0, 4]]","(0.8388698745050668, 0.9999999999999999)","(0.5100999795960008, 1.0)"
Probe water bands,probe,0.33469387755102037,0.95,1.0,0.75,0.8571428571428571,1.0,1.0,"[[16, 0], [1, 3]]","(0.7638641064874331, 0.9911187805671268)","(0.3006360524426366, 0.9544139373553637)"
Probe all bands,probe,0.1877551020408163,0.95,0.8,1.0,0.8888888888888888,1.0,1.0,"[[15, 1], [0, 4]]","(0.7638641064874331, 0.9911187805671268)","(0.5100999795960008, 1.0)"
Random 4 bands #1,probe,0.3530612244897959,1.0,1.0,1.0,1.0,1.0,1.0,"[[16, 0], [0, 4]]","(0.8388698745050668, 0.9999999999999999)","(0.5100999795960008, 1.0)"
Random 4 bands #2,probe,0.6561224489795918,0.95,1.0,0.75,0.8571428571428571,1.0,1.0,"[[16, 0], [1, 3]]","(0.7638641064874331, 0.9911187805671268)","(0.3006360524426366, 0.9544139373553637)"
Random 4 bands #3,probe,0.4540816326530612,1.0,1.0,1.0,1.0,1.0,1.0,"[[16, 0], [0, 4]]","(0.8388698745050668, 0.9999999999999999)","(0.5100999795960008, 1.0)"
